,coverage,customer,customer_lifetime_value,date,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy,policy_type,renew_offer_type,response,sales_channel,state,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
2,Basic,LZ68649,14947.9173,2011-02-10,Bachelor,2/10/11,Employed,M,22139,Suburban,Single,100,34.0,31,0.0,2,Personal L3,Personal Auto,Offer3,No,Call Center,Washington,480.0,SUV,Medsize,A,February
3,Extended,XL78013,22332.43946,2011-01-11,College,1/11/11,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate L3,Corporate Auto,Offer2,Yes,Branch,Oregon,484.013411,Four-Door Car,Medsize,A,January
10,Extended,HG93801,5154.764074,2011-01-02,High School or Below,1/2/11,Employed,M,82730,Urban,Married,127,13.0,31,0.0,1,Corporate L3,Corporate Auto,Offer2,No,Branch,Arizona,442.521087,SUV,Large,A,January
13,Basic,KR82385,5454.587929,2011-01-26,Master,1/26/11,Employed,M,66334,Suburban,Single,69,25.0,25,0.0,4,Personal L3,Personal Auto,Offer4,No,Call Center,California,331.2,Two-Door Car,Medsize,A,January
16,Basic,FH51383,5326.677654,2011-02-07,High School or Below,2/7/11,Employed,F,76717,Urban,Married,66,26.0,10,0.0,6,Personal L3,Personal Auto,Offer4,No,Call Center,California,300.528579,Two-Door Car,Large,A,February
17,Basic,TR26615,2497.531509,2011-01-17,High School or Below,1/17/11,Unemployed,M,0,Urban,Married,69,5.0,74,0.0,1,Corporate L2,Corporate Auto,Offer2,No,Branch,Oregon,272.381465,Two-Door Car,Medsize,A,January
18,Basic,ZC97968,2736.352663,2011-02-14,College,2/14/11,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal L3,Personal Auto,Offer1,No,Agent,California,350.4,Two-Door Car,Medsize,A,February
19,Extended,NJ54277,3746.751625,2011-02-26,College,2/26/11,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal L2,Personal Auto,Offer2,Yes,Call Center,California,19.575683,Two-Door Car,Large,A,February
20,Basic,OM80593,7247.313475,2011-02-23,Bachelor,2/23/11,Unemployed,F,0,Suburban,Single,104,9.0,58,0.0,7,Personal L3,Personal Auto,Offer1,No,Call Center,California,499.2,SUV,Medsize,A,February
22,Basic,EQ62488,15031.5645,2011-01-15,College,1/15/11,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,8,Personal L3,Personal Auto,Offer2,No,Call Center,Oregon,907.2,Luxury Car,Large,A,January
24,Basic,YK32760,2502.209885,2011-02-15,High School or Below,2/15/11,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate L1,Corporate Auto,Offer1,No,Agent,Oregon,355.2,Four-Door Car,Medsize,A,February
